lganame,wardname,ym,year,month,no2_mol_m2,no2_umol_m2,no2_valid_pixels,rainfall_mm,rainfall_valid_pixels,t2m_mean,t2m_max,t2m_min,ts_mean,temp_n_days,flare_n_sites,flare_total_bcm_13yr,flare_max_site_bcm,flare_last_year_bcm,flare_operators,fac_total,fac_phc,fac_secondary,fac_tertiary,fac_public,fac_private,pop_total,pop_under5,fac_per_1k_pop,phc_per_1k_u5,rainfall_mm_lag1m,rainfall_mm_lag2m,rainfall_mm_lag3m,t2m_mean_lag1m,t2m_mean_lag2m,t2m_mean_lag3m,ndvi_annual,ndvi_monthly,ndvi,ndvi_source,t,no2_umol_m2_lag1,no2_umol_m2_lag2,no2_umol_m2_lag3,rainfall_mm_lag1,rainfall_mm_lag2,rainfall_mm_lag3,t2m_mean_lag1,t2m_mean_lag2,t2m_mean_lag3,ndvi_lag1,ndvi_lag2,ndvi_lag3,month_sin,month_cos,no2_umol_m2_t1,rainfall_mm_t1,t2m_mean_t1
Bomadi,Akugbene 2,2026-02,2026,2,,,0,143.80726623535156,1,27.34,32.92,24.19,27.53,28,0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,35.6409797668457,125.9309310913086,221.561767578125,27.17,26.73,26.69,,,,annual,24314,,,,35.6409797668457,125.9309310913086,221.561767578125,27.17,26.73,26.69,,,,0.8660254037844386,0.5000000000000001,,138.79275512695312,27.68
Bomadi,Akugbene 2,2026-03,2026,3,,,0,138.79275512695312,1,27.68,32.21,24.53,27.97,31,0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,143.80726623535156,35.6409797668457,125.9309310913086,27.34,27.17,26.73,,,,annual,24315,,,,143.80726623535156,35.6409797668457,125.9309310913086,27.34,27.17,26.73,,,,1.0,6.123233995736766e-17,,206.6270904541016,27.61
Bomadi,Akugbene 2,2026-04,2026,4,,,0,206.6270904541016,1,27.61,31.96,24.28,27.81,30,0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,138.79275512695312,143.80726623535156,35.6409797668457,27.68,27.34,27.17,,,,annual,24316,,,,138.79275512695312,143.80726623535156,35.6409797668457,27.68,27.34,27.17,,,,0.8660254037844387,-0.4999999999999998,,,
Bomadi,Akugbene 3,2025-05,2025,5,,,0,214.9990081787109,1,27.07,31.56,24.66,27.32,31,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,,,,,,,,,,annual,24305,,,,,,,,,,,,,0.49999999999999994,-0.8660254037844387,,338.50054931640625,26.38
Bomadi,Akugbene 3,2025-06,2025,6,,,0,338.50054931640625,1,26.38,29.95,23.93,26.64,30,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,214.9990081787109,,,27.07,,,,,,annual,24306,,,,214.9990081787109,,,27.07,,,,,,1.2246467991473532e-16,-1.0,,269.0050048828125,25.28
Bomadi,Akugbene 3,2025-07,2025,7,,,0,269.0050048828125,1,25.28,28.95,23.03,25.45,31,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,338.50054931640625,214.9990081787109,,26.38,27.07,,,,,annual,24307,,,,338.50054931640625,214.9990081787109,,26.38,27.07,,,,,-0.4999999999999997,-0.8660254037844388,,190.53211975097656,24.88
Bomadi,Akugbene 3,2025-08,2025,8,,,0,190.53211975097656,1,24.88,28.59,22.5,25.14,31,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,269.0050048828125,338.50054931640625,214.9990081787109,25.28,26.38,27.07,,,,annual,24308,,,,269.0050048828125,338.50054931640625,214.9990081787109,25.28,26.38,27.07,,,,-0.8660254037844384,-0.5000000000000004,,373.4741516113281,25.31
Bomadi,Akugbene 3,2025-09,2025,9,,,0,373.4741516113281,1,25.31,29.08,23.19,25.56,30,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,190.53211975097656,269.0050048828125,338.50054931640625,24.88,25.28,26.38,,,,annual,24309,,,,190.53211975097656,269.0050048828125,338.50054931640625,24.88,25.28,26.38,,,,-1.0,-1.8369701987210297e-16,,358.1501159667969,25.65
Bomadi,Akugbene 3,2025-10,2025,10,,,0,358.1501159667969,1,25.65,29.96,23.2,25.92,31,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,373.4741516113281,190.53211975097656,269.0050048828125,25.31,24.88,25.28,,,,annual,24310,,,,373.4741516113281,190.53211975097656,269.0050048828125,25.31,24.88,25.28,,,,-0.8660254037844386,0.5000000000000001,,221.561767578125,26.69
Bomadi,Akugbene 3,2025-11,2025,11,,,0,221.561767578125,1,26.69,31.29,23.88,27.1,30,0,0.0,0.0,0.0,,1,1,0,0,1,0,3533,551,0.28,1.81,358.1501159667969,373.4741516113281,190.53211975097656,25.65,25.31,24.88,,,,annual,24311,,,,358.1501159667969,373.4741516113281,190.53211975097656,25.65,25.31,24.88,,,,-0.5000000000000004,0.8660254037844384,,125.9309310913086,26.73
